,Unnamed: 0,Unnamed: 0.1,stoploss,takeprofit,nPCs,strategy,Min,Max,ROI%,nTrades,ROI%Validation,nTradesValidation
4333,48,48,0.03,0.03,25,Bullish,0.8000000000000003,1.0000000000000004,-0.09073331423676828,26761,0.4181639604739499,20023
4334,3,3,0.02,0.03,40,Bullish,0.5,0.7000000000000002,-0.0908601916728662,2690,0.22046462914193946,3438
4335,52,52,0.02,0.04,25,Bullish,0.9000000000000004,0.9500000000000004,-0.09092278320482547,2490,0.523381875269029,985
4336,48,48,0.04,0.01,40,Bullish,0.8000000000000003,1.0000000000000004,-0.09101003260806324,51387,0.04632943606936839,23004
4337,0,0,0.02,0.04,80,Bullish,0.5,0.55,-0.09107390172775492,382,,0
4338,40,40,0.04,0.01,110,Bullish,0.7500000000000002,0.8000000000000003,-0.0910739017277593,955,,0
4339,33,33,0.01,0.05,110,Bullish,0.6500000000000001,1.0000000000000004,-0.09132003625679123,9385,,0
4340,7,7,0.05,0.01,95,Bullish,0.5,0.9000000000000004,-0.09133848005529242,6874,,0
4341,22,22,0.02,0.05,40,Bullish,0.6000000000000001,0.8000000000000003,-0.09136892814516244,2480,0.11585431798358335,3655
4342,35,35,0.03,0.05,25,Bullish,0.7000000000000002,0.8000000000000003,-0.09140858334975688,1624,0.5982926507713483,726
4343,5,5,0.03,0.01,110,Bullish,0.5,0.8000000000000003,-0.09141147075162656,8515,,0
4344,24,24,0.05,0.01,110,Bullish,0.6000000000000001,0.9000000000000004,-0.09141676512242666,4207,,0
4345,36,36,0.03,0.01,65,Bullish,0.7000000000000002,0.8500000000000003,-0.0914418498876393,8721,-0.2198470324000117,500
4346,9,9,0.03,0.01,10,Bullish,0.5,1.0000000000000004,-0.0914925811656427,74346,-0.1131006413789188,43607
4347,13,13,0.02,0.02,40,Bullish,0.55,0.7500000000000002,-0.09152961415278442,6663,0.02089527773676725,9862
4348,17,17,0.03,0.01,110,Bullish,0.55,0.9500000000000004,-0.0917071637137553,14756,,0
4349,17,17,0.05,0.03,65,Bullish,0.55,0.9500000000000004,-0.09185112092358053,6778,-0.6899962516326577,5047
4350,41,41,0.04,0.02,25,Bullish,0.7500000000000002,0.8500000000000003,-0.09195288885545252,3722,0.3417933077872641,3046
4351,11,11,0.01,0.02,10,Bullish,0.55,0.6500000000000001,-0.0920177346417896,4690,-0.2988382300722009,831
4352,12,12,0.02,0.04,40,Bullish,0.55,0.7000000000000002,-0.09212935221498993,1842,0.28622759674669224,1666
4353,12,12,0.03,0.04,40,Bullish,0.55,0.7000000000000002,-0.09235752543860584,1995,0.4368317200878386,2732
4354,37,37,0.03,0.01,25,Bullish,0.7000000000000002,0.9000000000000004,-0.09241247674643263,15297,-0.1628356134900995,19925
4355,33,33,0.03,0.01,10,Bullish,0.6500000000000001,1.0000000000000004,-0.09243903738825032,57578,-0.12097837868819235,40036
4356,54,54,0.03,0.02,40,Bullish,0.9500000000000004,1.0000000000000004,-0.0924557980990591,32789,0.4696783901184381,6248
4357,49,49,0.01,0.04,110,Bullish,0.8500000000000003,0.9000000000000004,-0.09254333228116887,377,,0
4358,44,44,0.03,0.03,25,Bullish,0.7500000000000002,1.0000000000000004,-0.09255465026289184,28073,0.4205922442629431,21084
4359,26,26,0.03,0.02,25,Bullish,0.6000000000000001,1.0000000000000004,-0.09263057965437936,44702,0.2703509823635637,25195
4360,27,27,0.05,0.03,25,Bullish,0.6500000000000001,0.7000000000000002,-0.09272921496326963,1225,0.6661527299296562,1706
4361,34,34,0.01,0.04,65,Bullish,0.7000000000000002,0.7500000000000002,-0.0927744848412716,630,0.008266398606555477,366
4362,45,45,0.03,0.04,110,Bullish,0.8000000000000003,0.8500000000000003,-0.0928384769951628,619,,0
